Datetime,Open,High,Low,Close,Volume
2022-01-03 04:00:00,174.4502,174.5284,173.9608,174.274,9876
2022-01-03 04:15:00,174.274,174.3131,174.0098,174.0196,9992
2022-01-03 04:30:00,174.0685,174.0881,173.9608,174.0881,9560
2022-01-03 04:45:00,174.0783,174.2936,174.0098,174.274,10339
2022-01-03 05:00:00,174.274,174.3523,174.1859,174.2838,10041
2022-01-03 05:15:00,174.2936,174.411,174.2446,174.3719,12027
2022-01-03 05:30:00,174.3621,174.411,174.2642,174.2936,6586
2022-01-03 05:45:00,174.3425,174.3621,174.3229,174.3621,6055
2022-01-03 06:00:00,174.3621,174.6067,174.3523,174.5284,12512
2022-01-03 06:15:00,174.5089,174.6361,174.4599,174.6165,3963
2022-01-03 06:30:00,174.5774,174.6263,174.4893,174.4893,4612
2022-01-03 06:45:00,174.4404,174.6459,174.4404,174.6361,2918
2022-01-03 07:00:00,174.6459,174.685,174.411,174.5284,27225
2022-01-03 07:15:00,174.4991,174.4991,174.3425,174.4012,25609
2022-01-03 07:30:00,174.3817,174.4893,174.2838,174.4502,11334
2022-01-03 07:45:00,174.4404,174.4599,174.3914,174.411,5854
2022-01-03 08:00:00,174.5578,174.6655,173.7749,174.5382,120352
2022-01-03 08:15:00,174.5382,174.6361,174.4991,174.548,50369
2022-01-03 08:30:00,174.5382,174.548,174.3034,174.3229,60160
2022-01-03 08:45:00,174.3327,174.4404,173.814,173.8532,105657
2022-01-03 09:00:00,173.8434,174.0293,173.7064,173.9706,121635
2022-01-03 09:15:00,173.9511,174.1272,173.7847,174.0881,188152
2022-01-03 09:30:00,174.0685,176.975,173.9119,176.7352,7013315
2022-01-03 09:45:00,176.7401,177.0631,175.5658,176.5933,5570955
2022-01-03 10:00:00,176.6031,177.5524,176.4185,177.3566,5405851
2022-01-03 10:15:00,177.3518,177.386,176.6325,176.975,3071069
2022-01-03 10:30:00,176.9848,177.3371,176.7108,176.9163,2443114
2022-01-03 10:45:00,176.9114,177.3568,176.8967,177.0924,1897286
2022-01-03 11:00:00,177.0827,177.1413,176.5346,176.9554,2040473
2022-01-03 11:15:00,176.9554,177.8851,176.838,177.8656,3310913
2022-01-03 11:30:00,177.8656,177.8851,177.2686,177.6056,2256711
2022-01-03 11:45:00,177.6022,177.8837,177.4741,177.5915,1801739
2022-01-03 12:00:00,177.5915,177.6405,177.205,177.4154,1477600
2022-01-03 12:15:00,177.4105,177.8117,177.4105,177.7188,1504647
2022-01-03 12:30:00,177.7139,178.2741,177.6111,178.1298,2756273
2022-01-03 12:45:00,178.1299,178.2081,177.7677,177.8068,1518300
2022-01-03 13:00:00,177.8072,178.2081,177.7579,178.12,1477424
2022-01-03 13:15:00,178.12,178.3833,178.0711,178.335,1715977
2022-01-03 13:30:00,178.3304,178.9518,178.3157,178.9274,3361254
2022-01-03 13:45:00,178.9288,178.9714,178.4038,178.4674,2837175
2022-01-03 14:00:00,178.4764,178.5653,178.12,178.2179,2189957
2022-01-03 14:15:00,178.2276,178.4136,177.9243,177.9781,1923232
2022-01-03 14:30:00,177.9732,178.394,177.7775,178.2962,2153265
2022-01-03 14:45:00,178.3059,178.3596,177.983,177.9928,1399188
2022-01-03 15:00:00,177.983,178.3059,177.8264,178.2471,1785410
2022-01-03 15:15:00,178.2374,178.2565,177.9831,178.2521,1660017
2022-01-03 15:30:00,178.257,178.257,177.4839,177.6503,3105182
2022-01-03 15:45:00,177.6405,178.12,177.3224,178.1102,6151793
2022-01-03 16:00:00,178.1102,178.3353,177.8166,178.3255,12071174
2022-01-03 16:15:00,178.3353,178.4038,178.3059,178.3647,75157
2022-01-03 16:30:00,178.3549,178.3842,178.3255,178.3353,13810
2022-01-03 16:45:00,178.3157,178.3842,178.12,178.2472,5008700
2022-01-03 17:00:00,178.2374,178.2374,178.1494,178.1592,19117
2022-01-03 17:15:00,178.1983,178.2081,178.12,178.12,14130
2022-01-03 17:30:00,178.12,178.2374,178.12,178.2374,8991
2022-01-03 17:45:00,178.2081,178.3059,178.2081,178.2179,9271
2022-01-03 18:00:00,178.2277,178.257,178.12,178.1885,22404
2022-01-03 18:15:00,178.1983,178.2962,178.1983,178.257,7196
2022-01-03 18:30:00,178.2472,178.2668,178.1102,178.1396,16092
2022-01-03 18:45:00,178.12,178.1689,178.0124,178.0221,13983
2022-01-03 19:00:00,178.0417,178.1102,177.9243,178.071,10078
2022-01-03 19:15:00,178.0319,178.0515,177.8656,177.8656,13660
2022-01-03 19:30:00,177.9145,178.0514,177.9145,178.0514,11130
2022-01-03 19:45:00,178.0417,178.1102,177.9634,178.1004,22351
2022-01-04 04:00:00,178.3255,178.7659,178.2081,178.5115,13806
2022-01-04 04:15:00,178.531,178.7072,178.531,178.668,7371
2022-01-04 04:30:00,178.6876,178.9616,178.6093,178.9616,8298
2022-01-04 04:45:00,178.9421,179.0399,178.8148,178.9616,3693
2022-01-04 05:00:00,178.9812,179.0595,178.9127,179.0203,8410
2022-01-04 05:15:00,179.0301,179.4509,178.9714,179.3824,23275
2022-01-04 05:30:00,179.3335,179.4607,179.2944,179.4118,4975
2022-01-04 05:45:00,179.4314,179.4412,179.265,179.3629,9022
2022-01-04 06:00:00,179.3237,179.4509,179.3139,179.4412,11354
2022-01-04 06:15:00,179.4314,179.4412,179.1084,179.1084,8252
2022-01-04 06:30:00,179.2454,179.3041,179.1574,179.1867,6274
2022-01-04 06:45:00,179.1867,179.2944,179.1671,179.1671,3065
2022-01-04 07:00:00,179.1378,179.2259,179.0301,179.0301,44062
2022-01-04 07:15:00,179.0301,179.0497,178.4234,178.5408,51509
2022-01-04 07:30:00,178.5506,178.8442,178.5408,178.7953,48642
2022-01-04 07:45:00,178.7463,178.8442,178.6387,178.8442,19745
2022-01-04 08:00:00,179.1377,179.2161,178.4336,178.8442,272202
2022-01-04 08:15:00,178.8736,178.991,178.8442,178.9029,72567
2022-01-04 08:30:00,178.9421,178.9812,178.5995,178.8833,62233
2022-01-04 08:45:00,178.854,178.9812,178.6778,178.8638,64331
2022-01-04 09:00:00,178.8344,178.9323,178.7561,178.7757,56630
2022-01-04 09:15:00,178.7953,178.8833,178.6485,178.7268,73135
2022-01-04 09:30:00,178.7268,179.0301,177.6111,178.2472,6761812
2022-01-04 09:45:00,178.257,178.9421,177.8166,178.3745,4792093
2022-01-04 10:00:00,178.3745,178.4919,177.6717,177.9928,3960664
2022-01-04 10:15:00,177.9977,178.5212,177.6209,178.5017,3792231
2022-01-04 10:30:00,178.487,178.7756,177.8754,177.9928,3528696
2022-01-04 10:45:00,177.983,178.404,177.1022,177.1414,3515610
2022-01-04 11:00:00,177.1512,177.1805,175.6343,176.6619,6085781
2022-01-04 11:15:00,176.657,176.7499,175.6734,176.0942,2827988
2022-01-04 11:30:00,176.0942,176.3585,175.8398,176.1089,2393009
2022-01-04 11:45:00,176.104,176.3487,175.7811,175.9719,2214345
2022-01-04 12:00:00,175.9719,176.1676,175.3701,176.0845,2982645
2022-01-04 12:15:00,176.092,176.5151,176.0649,176.1823,1818762
2022-01-04 12:30:00,176.1725,176.2019,175.7127,175.7616,1442136
2022-01-04 12:45:00,175.7664,175.9768,175.419,175.4924,1464636
2022-01-04 13:00:00,175.4949,175.9475,175.3896,175.7322,1326883
2022-01-04 13:15:00,175.7419,176.1334,175.5462,175.6637,1290183
2022-01-04 13:30:00,175.6637,175.7126,175.2918,175.6881,1540986
2022-01-04 13:45:00,175.6832,175.8978,175.5364,175.6163,1221773
2022-01-04 14:00:00,175.6233,175.9083,175.5951,175.7713,1455789
