Datetime,Open,High,Low,Close,Volume
2022-01-03 04:00:00,326.2735,326.6596,325.4047,325.9356,5741
2022-01-03 04:15:00,325.5013,325.7522,325.1441,325.1441,1453
2022-01-03 04:30:00,324.7966,325.0862,324.7869,325.0862,655
2022-01-03 04:45:00,325.0862,325.1151,324.8931,325.0186,3189
2022-01-03 05:00:00,325.0958,325.2696,325.0669,325.1537,3276
2022-01-03 05:15:00,325.2213,325.4433,325.0186,325.3082,4556
2022-01-03 05:45:00,325.4626,325.4626,325.4626,325.4626,100
2022-01-03 06:00:00,325.646,326.1673,325.646,326.0804,1263
2022-01-03 06:15:00,326.2059,326.2059,326.2059,326.2059,821
2022-01-03 06:30:00,325.8874,325.8874,325.8681,325.8874,1532
2022-01-03 06:45:00,326.2542,326.2542,326.0804,326.0804,538
2022-01-03 07:00:00,325.7908,326.0708,325.7908,325.9839,8034
2022-01-03 07:15:00,325.8488,325.9646,325.7908,325.9646,898
2022-01-03 07:30:00,325.9453,326.0804,325.8874,326.0804,1531
2022-01-03 07:45:00,325.9067,325.9839,325.7908,325.8874,1520
2022-01-03 08:00:00,326.0322,326.1673,325.7908,326.148,13360
2022-01-03 08:15:00,326.0322,326.148,325.9549,326.0032,5460
2022-01-03 08:30:00,325.9936,326.1673,325.3082,325.3565,7493
2022-01-03 08:45:00,325.4433,325.7136,324.4587,324.4587,14601
2022-01-03 09:00:00,324.4877,325.3081,324.3429,324.7194,15176
2022-01-03 09:15:00,324.8062,324.8255,323.3776,323.5417,24941
2022-01-03 09:30:00,323.4934,326.2735,323.1266,323.4114,1623706
2022-01-03 09:45:00,323.4548,323.5224,318.3387,318.865,1543714
2022-01-03 10:00:00,318.8986,320.4237,318.4159,320.3224,1083375
2022-01-03 10:15:00,320.3369,321.2105,319.7094,321.0126,1009474
2022-01-03 10:30:00,321.0078,321.0512,319.9121,320.1824,708260
2022-01-03 10:45:00,320.2114,320.8967,320.0232,320.6458,521694
2022-01-03 11:00:00,320.6554,320.7326,319.6026,319.9025,552862
2022-01-03 11:15:00,319.9206,320.7037,319.7432,320.472,537049
2022-01-03 11:30:00,320.472,320.9643,319.8832,320.9287,458636
2022-01-03 11:45:00,320.9064,321.167,320.0666,320.1921,448347
